pos x,pos y,Barrio
-58.47533969,-34.68757022,Villa Riachuelo
-58.50877521,-34.66977709,Mataderos
-58.39040293,-34.63189362,Constitución
-58.46503904,-34.68092974,Villa Lugano
-58.38718297,-34.62246630,Constitución
-58.44451316,-34.68475866,Villa Riachuelo
-58.50095869,-34.60825440,Villa del Parque
-58.50877521,-34.66977709,Mataderos
-58.38048577,-34.61303893,Monserrat
-58.39114932,-34.62477387,Constitución
-58.43760020,-34.59912758,Villa Crespo
-58.36882665,-34.64291993,Barracas
-58.44989671,-34.65970435,Villa Soldati
-58.50990884,-34.65468721,Naon
-58.37952223,-34.60653282,San Nicolás
-58.45157703,-34.63063795,Parque Chacabuco
-58.38144696,-34.61079875,Monserrat
-58.46244952,-34.70524971,Barrio Sarmiento
-58.49216191,-34.54738649,Saavedra
-58.44497874,-34.63852623,Parque Chacabuco
-58.38199706,-34.60028648,San Nicolás
-58.47378664,-34.54153077,Saavedra
-58.47064556,-34.69843756,Villa Riachuelo
-58.40623949,-34.65076549,Nueva Pompeya
-58.39228965,-34.60443527,Balvanera
-58.37813396,-34.63668504,Barracas
-58.46275892,-34.64358293,Flores
-58.49683458,-34.67892743,Villa Lugano
-58.40603217,-34.60883960,Balvanera
-58.46076550,-34.63350444,Flores
-58.46076550,-34.63350444,Flores
-58.47832463,-34.67494416,Villa Lugano
-58.43213235,-34.63693953,Parque Chacabuco
-58.46743471,-34.53476874,Vicente López
-58.38247061,-34.62571878,Constitución
-58.44759966,-34.59170240,Chacarita
-58.37714647568196,-34.63657525428238,Barracas
-58.47305463,-34.68550712,Villa Riachuelo
-58.40623949,-34.65076549,Nueva Pompeya
.,.,
-58.48429180,-34.57558053,Villa Urquiza
-58.48695354,-34.68795245,Villa Lugano
-58.40021959,-34.57964781,Palermo
-58.42957885,-34.57660058,Palermo
-58.38247542,-34.62556293,Constitución
-58.38222219,-34.62728101,Constitución
-58.49485242,-34.62953445,Vélez Sarsfield
-58.45227946,-34.61068024,Caballito
-58.48455411,-34.67512760,Villa Lugano
-58.39056593,-34.58418569,Recoleta
-58.39118948,-34.62704273,San Cristóbal
-58.49021952,-34.62025108,Floresta
-58.49896559,-34.67732118,Villa Lugano
-58.47461076,-34.66874679,Villa Lugano
-58.46210891,-34.60356211,Villa General Mitre
-58.37027770,-34.60536123,San Nicolás
-58.40491455,-34.61463830,Balvanera
-58.45504154,-34.54864492,Núñez
-58.52927982,-34.63931752,Liniers
-58.48721060,-34.55904606,Saavedra
-58.42273092,-34.64228803,Nueva Pompeya
-58.44788671,-34.62539009,Caballito
-58.38110563,-34.60135531,San Nicolás
-58.42378834,-34.65734100,Nueva Pompeya
-58.48727942,-34.63652467,Vélez Sarsfield
-58.37864583,-34.62907067,Barracas
-58.50151750,-34.56767549,Villa Urquiza
-58.43233425,-34.55185825,Belgrano
-58.41971993,-34.61112240,Almagro
-58.46743471,-34.53476874,Vicente López
-58.44362126,-34.62301748,Caballito
-58.51713095,-34.59546519,Villa Devoto
-58.47433193007387,-34.66684950051973,Villa Lugano
-58.39038605,-34.61562810,Monserrat
-58.40042405,-34.62356174,San Cristóbal
-58.52340614,-34.59798754,
-58.49491054,-34.54795581,Saavedra
-58.52932872,-34.65014993,Liniers
-58.50011639,-34.67316502,Villa Lugano
-58.46635001,-34.65624369,Parque Avellaneda
-58.45343236,-34.58435809,Chacarita
-58.38090932,-34.58927731,Retiro
-58.37157668,-34.65429986,Barracas
-58.52280139,-34.63659934,Liniers
-58.51232237,-34.65903530,Naon
-58.47461905,-34.57663634,Villa Ortúzar
-58.38268809,-34.62282019,Constitución
-58.49603546,-34.64564271,Mataderos
-58.41848605,-34.59394733,Palermo
-58.48935041,-34.54917673,Saavedra
-58.44451316,-34.68475866,Villa Riachuelo
-58.39936478,-34.58271474,Palermo
-58.37936704,-34.62694503,Constitución
-58.49659234,-34.56353635,Saavedra
-58.47256391,-34.65194557,Parque Avellaneda
-58.45130953,-34.64053676,Flores
-58.46271207,-34.62884871,Flores
-58.49020869,-34.64243791,Villa Luro
-58.52572109,-34.62125906,Villa Real
-58.52572109,-34.62125906,Villa Real
-58.44094791,-34.66677111,Villa Soldati
-58.41914024,-34.63053890,Boedo
-58.37910942,-34.62764717,Constitución
-58.39871183,-34.64539318,Barracas
-58.41036975,-34.62477021,San Cristóbal
-58.40204698,-34.58342690,Palermo
-58.48935287,-34.67648597,Villa Lugano
-58.42260225,-34.56403694,Palermo
.,.,
-58.51537091,-34.59035925,Villa Devoto
-58.45909670,-34.55922742,Belgrano
-58.42008769,-34.56539579,Palermo
-58.45566399,-34.56147293,Belgrano
-58.37533517,-34.59276462,Retiro
-58.44451316,-34.68475866,Villa Riachuelo
-58.35975012,-34.63343907,La Boca
-58.44523595,-34.55953855,Belgrano
-58.39626094,-34.63036565,Parque Patricios
-58.38896772,-34.61799615,Constitución
-58.46536113,-34.59484504,La Paternal
-58.40879146,-34.65273216,Nueva Pompeya
.,.,
-58.46451841,-34.64991946,Flores
-58.42917090,-34.59485488,Villa Crespo
-58.49007772,-34.68251141,Villa Lugano
-58.52756365,-34.62772274,Versalles
-58.40638983,-34.61943202,San Cristóbal
-58.47576807,-34.61740997,Villa Santa Rita
-58.44451316,-34.68475866,Villa Riachuelo
-58.51927194,-34.63635787,Liniers
-58.42525456,-34.57866344,Palermo
-58.45396573,-34.58518167,Chacarita
-58.52340614,-34.59798754,
-58.42323628,-34.64119105,Nueva Pompeya
-58.36926144,-34.62841919,La Boca
-58.42323628,-34.64119105,Nueva Pompeya
-58.47935434,-34.55676497,Saavedra
-58.50598256,-34.56379980,Saavedra
-58.36607137,-34.62150748,Puerto Madero
-58.41918902,-34.63174259,Boedo
-58.46749188,-34.63551751,Flores
.,.,
-58.46064174,-34.62960517,Flores
-58.36956186,-34.61232875,Monserrat
-58.40966671,-34.58788235,Palermo
-58.40288226,-34.61544091,Balvanera
-58.46594230,-34.61028571,Villa General Mitre
-58.38957669,-34.64410277,Barracas
-58.38161660,-34.61529543,Monserrat
-58.43917004,-34.58494351,Palermo
-58.41595919,-34.62743346,Boedo
-58.43564880,-34.62828656,Caballito
-58.50073810,-34.54979510,Saavedra
-58.40969005,-34.65055290,Nueva Pompeya
-58.38972622,-34.65098981,Barracas
-58.49185972,-34.55046754,Saavedra
-58.39293417,-34.59963642,Recoleta
-58.38099494,-34.62288231,Constitución
-58.42901200,-34.58095431,Palermo
-58.50877521,-34.66977709,Mataderos
-58.38362373,-34.60509972,San Nicolás
-58.46589308,-34.62955795,Flores
-58.43614426,-34.65424640,Flores
-58.41842777,-34.64979057,Nueva Pompeya
-58.41842777,-34.64979057,Nueva Pompeya
-58.38332245,-34.63193250,Constitución
-58.45475488,-34.61196327,Caballito
-58.48501341,-34.64742455,Parque Avellaneda
-58.47010988,-34.65872088,Parque Avellaneda
-58.40997560,-34.62873635,San Cristóbal
-58.48892175,-34.68359163,Villa Lugano
-58.52466448,-34.60325478,Villa Devoto
-58.42554218,-34.57929036,Palermo
-58.35881506,-34.61113641,Puerto Madero
-58.35881506,-34.61113641,Puerto Madero
-58.35881506,-34.61113641,Puerto Madero
-58.51452347,-34.58159762,Villa Pueyrredón
-58.51452347,-34.58159762,Villa Pueyrredón
-58.38896772,-34.61799615,Constitución
-58.44516857,-34.64363363,Flores
-58.43834197,-34.54560369,Belgrano
-58.45485084,-34.63531854,Flores
